constituency,ldf_score,udf_score,nda_score,others_score,long_term_trend_score,analysis_predicted
Haripad,0.12021,0.82387,0.048,0.00792,0.82387,UDF
Kayamkulam,0.82021,0.12387,0.048,0.00792,0.82021,LDF
Mavelikkara,0.82021,0.12387,0.048,0.00792,0.82021,LDF
Chengannur,0.62021,0.32387,0.048,0.00792,0.62021,LDF
Thiruvalla,0.62021,0.32387,0.048,0.00792,0.62021,LDF
Ranni,0.59837,0.31994,0.07665,0.00504,0.59837,LDF
Aranmula,0.79837,0.11994,0.07665,0.00504,0.79837,LDF
Konni,0.79837,0.11994,0.07665,0.00504,0.79837,LDF
Adoor,0.09837,0.81994,0.07665,0.00504,0.81994,UDF
Karunagapally,0.09837,0.81994,0.07665,0.00504,0.81994,UDF
Chavara,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Kunnathur,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Kottarakkara,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Pathanapuram,0.59609,0.34535,0.05346,0.0051,0.59609,LDF
Punalur,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Chadayamangalam,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Kundara,0.09609,0.84535,0.05346,0.0051,0.84535,UDF
Kollam,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Eravipuram,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Chathannoor,0.59966,0.29987,0.09495,0.00552,0.59966,LDF
Varkala,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Attingal,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Chirayinkeezhu,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Nedumangad,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Vamanapuram,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Kazhakoottam,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Vattiyoorkavu,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Thiruvananthapuram,0.57815,0.31157,0.10791,0.00237,0.57815,LDF
Nemom,0.57815,0.11157,0.30791,0.00237,0.57815,LDF
Aruvikkara,0.57815,0.31157,0.10791,0.00237,0.57815,LDF
Parassala,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Kattakada,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Kovalam,0.07815,0.81157,0.10791,0.00237,0.81157,UDF
Neyyattinkara,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
