year,election,winner,winner_seats,winner_vote_share,runner_up,runner_up_seats,runner_up_vote_share
2014,Lok Sabha,UDF,12,41.98,LDF,8,40.12
2016,Assembly,LDF,91,43.14,UDF,47,38.6
2019,Lok Sabha,UDF,19,47.48,LDF,1,35.29
2021,Assembly,LDF,99,45.28,UDF,41,39.41
2024,Lok Sabha,UDF,18,45.4,LDF,1,33.6
