constituency,ldf_score,udf_score,nda_score,others_score,recent_swing_score,analysis_predicted
Punalur,0.36821,0.45315,0.16074,0.0179,0.45315,UDF
Chadayamangalam,0.36821,0.45315,0.16074,0.0179,0.45315,UDF
Kundara,0.36821,0.45315,0.16074,0.0179,0.45315,UDF
Kollam,0.37654,0.34703,0.25755,0.01888,0.37654,LDF
Eravipuram,0.37654,0.34703,0.25755,0.01888,0.37654,LDF
Chathannoor,0.37654,0.34703,0.25755,0.01888,0.37654,LDF
Varkala,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Attingal,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Chirayinkeezhu,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Nedumangad,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Vamanapuram,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Kazhakoottam,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Vattiyoorkavu,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Thiruvananthapuram,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Nemom,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Aruvikkara,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Parassala,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Kattakada,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Kovalam,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Neyyattinkara,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
