District,Headquarters,Established
Alappuzha,Alappuzha,1957
Ernakulam,Kakkanad,1958
Idukki,Painavu,1972
Kannur,Kannur,1957
Kasaragod,Kasaragod,1984
Kollam,Kollam,1956
Kottayam,Kottayam,1956
Kozhikode,Kozhikode,1957
Malappuram,Malappuram,1969
Palakkad,Palakkad,1957
Pathanamthitta,Pathanamthitta,1982
Thiruvananthapuram,Thiruvananthapuram,1956
Thrissur,Thrissur,1956
Wayanad,Kalpetta,1980
