front,party,seats,status
UDF,Indian National Congress,92,announced
UDF,Indian Union Muslim League,26,announced
UDF,Kerala Congress,8,announced
UDF,Revolutionary Socialist Party,4,announced
UDF,Kerala Congress (Jacob),1,announced
UDF,Revolutionary Marxist Party of India,1,announced
UDF,Communist Marxist Party,1,announced
UDF,Independents,7,announced
